"","block","transect","initial","current_plot_type","physical_barrier","name","value","log_wt"
"32","1","1.28","open","open_with_log","1","wt_percapita_tror",NA,NA
"33","1","1.28","open","open_with_log","1","wt_percapita_trcy",NA,NA
"34","1","1.31","open","open","0","wt_percapita_goro",NA,NA
"35","1","1.31","open","open","0","wt_percapita_tror",NA,NA
"36","1","1.31","open","open","0","wt_percapita_trcy",NA,NA
"37","1","1.4","log","gap","0","wt_percapita_goro",NA,NA
"38","1","1.4","log","gap","0","wt_percapita_tror",NA,NA
"39","1","1.4","log","gap","0","wt_percapita_trcy",0.043333333,-3.13883312488697
"40","1","1.6","log","gap","0","wt_percapita_goro",0.015,-4.19970507787993
"41","1","1.6","log","gap","0","wt_percapita_tror",NA,NA
"42","1","1.6","log","gap","0","wt_percapita_trcy",NA,NA
"43","1","1.8","log","gap","0","wt_percapita_goro",NA,NA
"44","1","1.8","log","gap","0","wt_percapita_tror",0.06,-2.81341071676004
"45","1","1.8","log","gap","0","wt_percapita_trcy",NA,NA
"46","1","1.ten","log","insitu_pvc","1","wt_percapita_goro",0.16,-1.83258146374831
"47","1","1.ten","log","insitu_pvc","1","wt_percapita_tror",0.08,-2.52572864430826
"48","1","1.ten","log","insitu_pvc","1","wt_percapita_trcy",0.0675,-2.69562768110365
"49","2","2.01","log","gap","0","wt_percapita_goro",0.19,-1.66073120682165
"50","2","2.01","log","gap","0","wt_percapita_tror",NA,NA
"51","2","2.01","log","gap","0","wt_percapita_trcy",0.015625,-4.15888308335967
"52","2","2.02","log","insitu_pvc","1","wt_percapita_goro",NA,NA
"53","2","2.02","log","insitu_pvc","1","wt_percapita_tror",NA,NA
"54","2","2.02","log","insitu_pvc","1","wt_percapita_trcy",0.068888889,-2.67526037666632
"55","2","2.12","log","gap","0","wt_percapita_goro",NA,NA
"56","2","2.12","log","gap","0","wt_percapita_tror",NA,NA
"57","2","2.12","log","gap","0","wt_percapita_trcy",NA,NA
"58","2","2.15","log","insitu_log","1","wt_percapita_goro",NA,NA
"59","2","2.15","log","insitu_log","1","wt_percapita_tror",NA,NA
"60","2","2.15","log","insitu_log","1","wt_percapita_trcy",0.095,-2.3538783873816
"61","2","2.17","open","open_with_log","1","wt_percapita_goro",1.34,0.29266961396282
"62","2","2.17","open","open_with_log","1","wt_percapita_tror",0.0375,-3.28341434600577
"63","2","2.17","open","open_with_log","1","wt_percapita_trcy",NA,NA
"64","2","2.19","open","open_with_pvc","1","wt_percapita_goro",0.213333333,-1.54489939285903
"65","2","2.19","open","open_with_pvc","1","wt_percapita_tror",0.0095,-4.65646348037564
"66","2","2.19","open","open_with_pvc","1","wt_percapita_trcy",0.01,-4.60517018598809
"67","2","2.21","open","open_with_pvc","1","wt_percapita_goro",0.07,-2.65926003693278
"68","2","2.21","open","open_with_pvc","1","wt_percapita_tror",0.009,-4.71053070164592
"69","2","2.21","open","open_with_pvc","1","wt_percapita_trcy",0.02,-3.91202300542815
"70","2","2.25","open","open","0","wt_percapita_goro",0.013,-4.3428059215206
"71","2","2.25","open","open","0","wt_percapita_tror",0.00435,-5.43757943388154
"72","2","2.25","open","open","0","wt_percapita_trcy",0.006,-5.11599580975408
"73","2","2.26","open","open_with_log","1","wt_percapita_goro",NA,NA
"74","2","2.26","open","open_with_log","1","wt_percapita_tror",0.03,-3.50655789731998
"75","2","2.26","open","open_with_log","1","wt_percapita_trcy",NA,NA
"76","2","2.27","open","open","0","wt_percapita_goro",NA,NA
"77","2","2.27","open","open","0","wt_percapita_tror",NA,NA
"78","2","2.27","open","open","0","wt_percapita_trcy",NA,NA
"79","2","2.31","open","open","0","wt_percapita_goro",NA,NA
"80","2","2.31","open","open","0","wt_percapita_tror",NA,NA
"81","2","2.31","open","open","0","wt_percapita_trcy",0.246,-1.40242374304977
"82","2","2.4","log","gap","0","wt_percapita_goro",0.02,-3.91202300542815
"83","2","2.4","log","gap","0","wt_percapita_tror",0.02125,-3.85139838361171
"84","2","2.4","log","gap","0","wt_percapita_trcy",NA,NA
"85","2","2.6","log","insitu_pvc","1","wt_percapita_goro",NA,NA
"86","2","2.6","log","insitu_pvc","1","wt_percapita_tror",0.086,-2.45340798272863
"87","2","2.6","log","insitu_pvc","1","wt_percapita_trcy",0.031666667,-3.45249066552339
"88","2","2.7","log","insitu_log","1","wt_percapita_goro",0.4,-0.916290731874155
"89","2","2.7","log","insitu_log","1","wt_percapita_tror",0.035,-3.35240721749272
"90","2","2.7","log","insitu_log","1","wt_percapita_trcy",0.015555556,-4.16333740513762
"91","2","2.ten","log","gap","0","wt_percapita_goro",NA,NA
"92","2","2.ten","log","gap","0","wt_percapita_tror",0.11,-2.20727491318972
"93","2","2.ten","log","gap","0","wt_percapita_trcy",NA,NA
"94","2","2.twenty","open","open","0","wt_percapita_goro",NA,NA
"95","2","2.twenty","open","open","0","wt_percapita_tror",NA,NA
"96","2","2.twenty","open","open","0","wt_percapita_trcy",0.006,-5.11599580975408
"97","3","3.01","log","gap","0","wt_percapita_goro",0.055,-2.90042209374967
"98","3","3.01","log","gap","0","wt_percapita_tror",0.07,-2.65926003693278
"99","3","3.01","log","gap","0","wt_percapita_trcy",0.06,-2.81341071676004
"100","3","3.02","log","gap","0","wt_percapita_goro",0.01,-4.60517018598809
"101","3","3.02","log","gap","0","wt_percapita_tror",NA,NA
"102","3","3.02","log","gap","0","wt_percapita_trcy",NA,NA
"103","3","3.12","log","insitu_pvc","1","wt_percapita_goro",0.056666667,-2.87056912471763
"104","3","3.12","log","insitu_pvc","1","wt_percapita_tror",0.005,-5.29831736654804
"105","3","3.12","log","insitu_pvc","1","wt_percapita_trcy",0.012,-4.42284862919414
"106","3","3.17","open","open_with_pvc","1","wt_percapita_goro",NA,NA
"107","3","3.17","open","open_with_pvc","1","wt_percapita_tror",NA,NA
"108","3","3.17","open","open_with_pvc","1","wt_percapita_trcy",0.0062,-5.08320598693109
"109","3","3.18","open","open","0","wt_percapita_goro",0.123333333,-2.09286456471468
"110","3","3.18","open","open","0","wt_percapita_tror",0.013,-4.3428059215206
"111","3","3.18","open","open","0","wt_percapita_trcy",0.06,-2.81341071676004
"112","3","3.22","open","open","0","wt_percapita_goro",0.07,-2.65926003693278
"113","3","3.22","open","open","0","wt_percapita_tror",NA,NA
"114","3","3.22","open","open","0","wt_percapita_trcy",0.02,-3.91202300542815
"115","3","3.23","open","open_with_log","1","wt_percapita_goro",0.015,-4.19970507787993
"116","3","3.23","open","open_with_log","1","wt_percapita_tror",NA,NA
"117","3","3.23","open","open_with_log","1","wt_percapita_trcy",0.046363636,-3.07123983390527
"118","3","3.27","open","open_with_pvc","1","wt_percapita_goro",0.02,-3.91202300542815
"119","3","3.27","open","open_with_pvc","1","wt_percapita_tror",0.04,-3.2188758248682
"120","3","3.27","open","open_with_pvc","1","wt_percapita_trcy",0.03,-3.50655789731998
"121","3","3.32","open","open_with_log","1","wt_percapita_goro",0.045,-3.10109278921182
"122","3","3.32","open","open_with_log","1","wt_percapita_tror",NA,NA
"123","3","3.32","open","open_with_log","1","wt_percapita_trcy",0.005,-5.29831736654804
"124","3","3.4","log","insitu_log","1","wt_percapita_goro",0.02,-3.91202300542815
"125","3","3.4","log","insitu_log","1","wt_percapita_tror",0.0175,-4.04555439805267
"126","3","3.4","log","insitu_log","1","wt_percapita_trcy",0.025,-3.68887945411394
"127","3","3.5","log","gap","0","wt_percapita_goro",NA,NA
"128","3","3.5","log","gap","0","wt_percapita_tror",0.02,-3.91202300542815
"129","3","3.5","log","gap","0","wt_percapita_trcy",0.03,-3.50655789731998
"130","3","3.6","log","gap","0","wt_percapita_goro",0.113333333,-2.17742195298122
"131","3","3.6","log","gap","0","wt_percapita_tror",NA,NA
"132","3","3.6","log","gap","0","wt_percapita_trcy",0.02,-3.91202300542815
"133","3","3.8","log","insitu_pvc","1","wt_percapita_goro",0.0575,-2.85597033117883
"134","3","3.8","log","insitu_pvc","1","wt_percapita_tror",0.036,-3.32423634052603
"135","3","3.8","log","insitu_pvc","1","wt_percapita_trcy",0.021111111,-3.85795578942103
"136","3","3.9","log","insitu_log","1","wt_percapita_goro",NA,NA
"137","3","3.9","log","insitu_log","1","wt_percapita_tror",NA,NA
"138","3","3.9","log","insitu_log","1","wt_percapita_trcy",NA,NA
"139","3","3.thirty","open","open","0","wt_percapita_goro",0.065,-2.7333680090865
"140","3","3.thirty","open","open","0","wt_percapita_tror",0.008333333,-4.78749178278205
"141","3","3.thirty","open","open","0","wt_percapita_trcy",NA,NA
"142","3","3.twenty","open","open","0","wt_percapita_goro",0.27,-1.30933331998376
"143","3","3.twenty","open","open","0","wt_percapita_tror",NA,NA
"144","3","3.twenty","open","open","0","wt_percapita_trcy",NA,NA
"145","4","4.01","log","insitu_log","1","wt_percapita_goro",NA,NA
"146","4","4.01","log","insitu_log","1","wt_percapita_tror",0.03,-3.50655789731998
"147","4","4.01","log","insitu_log","1","wt_percapita_trcy",0.032,-3.44201937618241
"148","4","4.02","log","insitu_pvc","1","wt_percapita_goro",0.56,-0.579818495252942
"149","4","4.02","log","insitu_pvc","1","wt_percapita_tror",0.09,-2.40794560865187
"150","4","4.02","log","insitu_pvc","1","wt_percapita_trcy",0.12,-2.12026353620009
"151","4","4.12","log","insitu_pvc","1","wt_percapita_goro",NA,NA
"152","4","4.12","log","insitu_pvc","1","wt_percapita_tror",0.05,-2.99573227355399
"153","4","4.12","log","insitu_pvc","1","wt_percapita_trcy",NA,NA
"154","4","4.14","log","insitu_log","1","wt_percapita_goro",0.79,-0.23572233352107
"155","4","4.14","log","insitu_log","1","wt_percapita_tror",0.015,-4.19970507787993
"156","4","4.14","log","insitu_log","1","wt_percapita_trcy",0.06,-2.81341071676004
"157","4","4.17","open","open_with_log","1","wt_percapita_goro",NA,NA
"158","4","4.17","open","open_with_log","1","wt_percapita_tror",NA,NA
"159","4","4.17","open","open_with_log","1","wt_percapita_trcy",NA,NA
"160","4","4.19","open","open","0","wt_percapita_goro",NA,NA
"161","4","4.19","open","open","0","wt_percapita_tror",NA,NA
"162","4","4.19","open","open","0","wt_percapita_trcy",0.014,-4.26869794936688
"163","4","4.21","open","open_with_pvc","1","wt_percapita_goro",1.93,0.657520002916794
"164","4","4.21","open","open_with_pvc","1","wt_percapita_tror",NA,NA
"165","4","4.21","open","open_with_pvc","1","wt_percapita_trcy",0.0088,-4.73300355749798
"166","4","4.22","open","open_with_pvc","1","wt_percapita_goro",0.086666667,-2.44568593278857
"167","4","4.22","open","open_with_pvc","1","wt_percapita_tror",NA,NA
"168","4","4.22","open","open_with_pvc","1","wt_percapita_trcy",0.025,-3.68887945411394
"169","4","4.24","open","open_with_log","1","wt_percapita_goro",0.355,-1.03563748950672
"170","4","4.24","open","open_with_log","1","wt_percapita_tror",0.03,-3.50655789731998
"171","4","4.24","open","open_with_log","1","wt_percapita_trcy",0.023333333,-3.7578723398866
"172","4","4.25","open","open_with_pvc","1","wt_percapita_goro",0.093333333,-2.37157796805243
"173","4","4.25","open","open_with_pvc","1","wt_percapita_tror",NA,NA
"174","4","4.25","open","open_with_pvc","1","wt_percapita_trcy",NA,NA
"175","4","4.27","open","open","0","wt_percapita_goro",NA,NA
"176","4","4.27","open","open","0","wt_percapita_tror",NA,NA
"177","4","4.27","open","open","0","wt_percapita_trcy",NA,NA
"178","4","4.29","open","open","0","wt_percapita_goro",0.07,-2.65926003693278
"179","4","4.29","open","open","0","wt_percapita_tror",NA,NA
"180","4","4.29","open","open","0","wt_percapita_trcy",NA,NA
"181","4","4.4","log","gap","0","wt_percapita_goro",NA,NA
"182","4","4.4","log","gap","0","wt_percapita_tror",0.0105,-4.55638002181866
"183","4","4.4","log","gap","0","wt_percapita_trcy",0.020714286,-3.87693167182377
"184","4","4.5","log","gap","0","wt_percapita_goro",NA,NA
"185","4","4.5","log","gap","0","wt_percapita_tror",0.013333333,-4.31748813853631
"186","4","4.5","log","gap","0","wt_percapita_trcy",0.09,-2.40794560865187
"187","4","4.6","log","gap","0","wt_percapita_goro",0.05,-2.99573227355399
"188","4","4.6","log","gap","0","wt_percapita_tror",NA,NA
"189","4","4.6","log","gap","0","wt_percapita_trcy",0.17,-1.77195684193188
"190","4","4.7","log","gap","0","wt_percapita_goro",0.03,-3.50655789731998
"191","4","4.7","log","gap","0","wt_percapita_tror",NA,NA
"192","4","4.7","log","gap","0","wt_percapita_trcy",NA,NA
"193","5","5.01","log","insitu_log","1","wt_percapita_goro",NA,NA
"194","5","5.01","log","insitu_log","1","wt_percapita_tror",NA,NA
"195","5","5.01","log","insitu_log","1","wt_percapita_trcy",0.07,-2.65926003693278
"196","5","5.02","log","gap","0","wt_percapita_goro",NA,NA
"197","5","5.02","log","gap","0","wt_percapita_tror",NA,NA
"198","5","5.02","log","gap","0","wt_percapita_trcy",0.03,-3.50655789731998
"199","5","5.13","log","gap","0","wt_percapita_goro",NA,NA
"200","5","5.13","log","gap","0","wt_percapita_tror",0.03,-3.50655789731998
"201","5","5.13","log","gap","0","wt_percapita_trcy",NA,NA
"202","5","5.14","log","insitu_log","1","wt_percapita_goro",0.045,-3.10109278921182
"203","5","5.14","log","insitu_log","1","wt_percapita_tror",NA,NA
"204","5","5.14","log","insitu_log","1","wt_percapita_trcy",NA,NA
"205","5","5.17","open","open_with_log","1","wt_percapita_goro",0.125,-2.07944154167984
"206","5","5.17","open","open_with_log","1","wt_percapita_tror",NA,NA
"207","5","5.17","open","open_with_log","1","wt_percapita_trcy",0.05,-2.99573227355399
"208","5","5.19","open","open","0","wt_percapita_goro",0.02,-3.91202300542815
"209","5","5.19","open","open","0","wt_percapita_tror",NA,NA
"210","5","5.19","open","open","0","wt_percapita_trcy",NA,NA
"211","5","5.21","open","open","0","wt_percapita_goro",NA,NA
"212","5","5.21","open","open","0","wt_percapita_tror",NA,NA
"213","5","5.21","open","open","0","wt_percapita_trcy",NA,NA
"214","5","5.23","open","open","0","wt_percapita_goro",0.023333333,-3.7578723398866
"215","5","5.23","open","open","0","wt_percapita_tror",NA,NA
"216","5","5.23","open","open","0","wt_percapita_trcy",NA,NA
"217","5","5.24","open","open_with_pvc","1","wt_percapita_goro",0.18,-1.71479842809193
"218","5","5.24","open","open_with_pvc","1","wt_percapita_tror",0.0175,-4.04555439805267
"219","5","5.24","open","open_with_pvc","1","wt_percapita_trcy",NA,NA
"220","5","5.27","open","open_with_log","1","wt_percapita_goro",NA,NA
"221","5","5.27","open","open_with_log","1","wt_percapita_tror",NA,NA
"222","5","5.27","open","open_with_log","1","wt_percapita_trcy",NA,NA
"223","5","5.28","open","open_with_pvc","1","wt_percapita_goro",0.213333333,-1.54489939285903
"224","5","5.28","open","open_with_pvc","1","wt_percapita_tror",0.125,-2.07944154167984
"225","5","5.28","open","open_with_pvc","1","wt_percapita_trcy",0.1275,-2.05963891438366
"226","5","5.31","open","open","0","wt_percapita_goro",NA,NA
"227","5","5.31","open","open","0","wt_percapita_tror",NA,NA
"228","5","5.31","open","open","0","wt_percapita_trcy",NA,NA
"229","5","5.4","log","gap","0","wt_percapita_goro",NA,NA
"230","5","5.4","log","gap","0","wt_percapita_tror",NA,NA
"231","5","5.4","log","gap","0","wt_percapita_trcy",NA,NA
"232","5","5.7","log","gap","0","wt_percapita_goro",0.145,-1.93102153656156
"233","5","5.7","log","gap","0","wt_percapita_tror",NA,NA
"234","5","5.7","log","gap","0","wt_percapita_trcy",NA,NA
"235","5","5.9","log","insitu_pvc","1","wt_percapita_goro",NA,NA
"236","5","5.9","log","insitu_pvc","1","wt_percapita_tror",NA,NA
"237","5","5.9","log","insitu_pvc","1","wt_percapita_trcy",0.03,-3.50655789731998
"238","5","5.ten","log","insitu_pvc","1","wt_percapita_goro",0.085,-2.46510402249182
"239","5","5.ten","log","insitu_pvc","1","wt_percapita_tror",NA,NA
"240","5","5.ten","log","insitu_pvc","1","wt_percapita_trcy",NA,NA
"241","6","6.01","log","gap","0","wt_percapita_goro",NA,NA
"242","6","6.01","log","gap","0","wt_percapita_tror",0.03,-3.50655789731998
"243","6","6.01","log","gap","0","wt_percapita_trcy",0.02,-3.91202300542815
"244","6","6.02","log","insitu_pvc","1","wt_percapita_goro",0.114,-2.17155683058764
"245","6","6.02","log","insitu_pvc","1","wt_percapita_tror",0.04,-3.2188758248682
"246","6","6.02","log","insitu_pvc","1","wt_percapita_trcy",0.015,-4.19970507787993
"247","6","6.11","log","insitu_pvc","1","wt_percapita_goro",0.01,-4.60517018598809
"248","6","6.11","log","insitu_pvc","1","wt_percapita_tror",NA,NA
"249","6","6.11","log","insitu_pvc","1","wt_percapita_trcy",0.15,-1.89711998488588
"250","6","6.15","log","insitu_log","1","wt_percapita_goro",0.24,-1.42711635564015
"251","6","6.15","log","insitu_log","1","wt_percapita_tror",0.04,-3.2188758248682
"252","6","6.15","log","insitu_log","1","wt_percapita_trcy",NA,NA
"253","6","6.17","open","open","0","wt_percapita_goro",0.04,-3.2188758248682
"254","6","6.17","open","open","0","wt_percapita_tror",0.01,-4.60517018598809
"255","6","6.17","open","open","0","wt_percapita_trcy",NA,NA
"256","6","6.18","open","open_with_log","1","wt_percapita_goro",0.1,-2.30258509299405
"257","6","6.18","open","open_with_log","1","wt_percapita_tror",0.04,-3.2188758248682
"258","6","6.18","open","open_with_log","1","wt_percapita_trcy",0.046666667,-3.06472513789809
"259","6","6.21","open","open","0","wt_percapita_goro",0.04,-3.2188758248682
"260","6","6.21","open","open","0","wt_percapita_tror",NA,NA
"261","6","6.21","open","open","0","wt_percapita_trcy",NA,NA
"262","6","6.23","open","open_with_pvc","1","wt_percapita_goro",0.03,-3.50655789731998
"263","6","6.23","open","open_with_pvc","1","wt_percapita_tror",0.05,-2.99573227355399
"264","6","6.23","open","open_with_pvc","1","wt_percapita_trcy",NA,NA
"265","6","6.24","open","open_with_pvc","1","wt_percapita_goro",0.91,-0.0943106794712413
"266","6","6.24","open","open_with_pvc","1","wt_percapita_tror",0.025,-3.68887945411394
"267","6","6.24","open","open_with_pvc","1","wt_percapita_trcy",0.01,-4.60517018598809
"268","6","6.26","open","open","0","wt_percapita_goro",0.08,-2.52572864430826
"269","6","6.26","open","open","0","wt_percapita_tror",NA,NA
"270","6","6.26","open","open","0","wt_percapita_trcy",NA,NA
"271","6","6.28","open","open_with_log","1","wt_percapita_goro",0.89,-0.116533816255952
"272","6","6.28","open","open_with_log","1","wt_percapita_tror",NA,NA
"273","6","6.28","open","open_with_log","1","wt_percapita_trcy",NA,NA
"274","6","6.31","open","open","0","wt_percapita_goro",0.08,-2.52572864430826
"275","6","6.31","open","open","0","wt_percapita_tror",NA,NA
"276","6","6.31","open","open","0","wt_percapita_trcy",NA,NA
"277","6","6.4","log","gap","0","wt_percapita_goro",0.034,-3.38139475436598
"278","6","6.4","log","gap","0","wt_percapita_tror",0.0079,-4.84089251950916
"279","6","6.4","log","gap","0","wt_percapita_trcy",0.045,-3.10109278921182
"280","6","6.5","log","gap","0","wt_percapita_goro",NA,NA
"281","6","6.5","log","gap","0","wt_percapita_tror",NA,NA
"282","6","6.5","log","gap","0","wt_percapita_trcy",NA,NA
"283","6","6.7","log","gap","0","wt_percapita_goro",0.333333333,-1.09861228966811
"284","6","6.7","log","gap","0","wt_percapita_tror",NA,NA
"285","6","6.7","log","gap","0","wt_percapita_trcy",NA,NA
"286","6","6.9","log","insitu_log","1","wt_percapita_goro",0.29,-1.23787435600162
"287","6","6.9","log","insitu_log","1","wt_percapita_tror",NA,NA
"288","6","6.9","log","insitu_log","1","wt_percapita_trcy",0.02,-3.91202300542815
"289","7","7.01","log","insitu_log","1","wt_percapita_goro",NA,NA
"290","7","7.01","log","insitu_log","1","wt_percapita_tror",NA,NA
"291","7","7.01","log","insitu_log","1","wt_percapita_trcy",0.105,-2.25379492882461
"292","7","7.02","log","gap","0","wt_percapita_goro",NA,NA
"293","7","7.02","log","gap","0","wt_percapita_tror",0.12,-2.12026353620009
"294","7","7.02","log","gap","0","wt_percapita_trcy",0.18,-1.71479842809193
"295","7","7.11","log","insitu_pvc","1","wt_percapita_goro",NA,NA
"296","7","7.11","log","insitu_pvc","1","wt_percapita_tror",0.01,-4.60517018598809
"297","7","7.11","log","insitu_pvc","1","wt_percapita_trcy",NA,NA
"298","7","7.13","log","insitu_pvc","1","wt_percapita_goro",NA,NA
"299","7","7.13","log","insitu_pvc","1","wt_percapita_tror",NA,NA
"300","7","7.13","log","insitu_pvc","1","wt_percapita_trcy",NA,NA
"301","7","7.16","log","gap","0","wt_percapita_goro",0.03,-3.50655789731998
"302","7","7.16","log","gap","0","wt_percapita_tror",0.085,-2.46510402249182
"303","7","7.16","log","gap","0","wt_percapita_trcy",0.078,-2.55104645229255
"304","7","7.17","open","open_with_log","1","wt_percapita_goro",0.54,-0.616186139423817
"305","7","7.17","open","open_with_log","1","wt_percapita_tror",NA,NA
"306","7","7.17","open","open_with_log","1","wt_percapita_trcy",NA,NA
"307","7","7.18","open","open_with_log","1","wt_percapita_goro",NA,NA
"308","7","7.18","open","open_with_log","1","wt_percapita_tror",0.55,-0.59783700075562
"309","7","7.18","open","open_with_log","1","wt_percapita_trcy",0.05,-2.99573227355399
"310","7","7.22","open","open","0","wt_percapita_goro",NA,NA
"311","7","7.22","open","open","0","wt_percapita_tror",NA,NA
"312","7","7.22","open","open","0","wt_percapita_trcy",0.21,-1.56064774826467
"313","7","7.24","open","open_with_pvc","1","wt_percapita_goro",0.0925,-2.38054663446376
"314","7","7.24","open","open_with_pvc","1","wt_percapita_tror",0.03,-3.50655789731998
"315","7","7.24","open","open_with_pvc","1","wt_percapita_trcy",NA,NA
"316","7","7.26","open","open","0","wt_percapita_goro",0.135,-2.00248050054371
"317","7","7.26","open","open","0","wt_percapita_tror",NA,NA
"318","7","7.26","open","open","0","wt_percapita_trcy",0.044,-3.12356564506388
"319","7","7.29","open","open","0","wt_percapita_goro",NA,NA
"320","7","7.29","open","open","0","wt_percapita_tror",0.02,-3.91202300542815
"321","7","7.29","open","open","0","wt_percapita_trcy",NA,NA
"322","7","7.31","open","open","0","wt_percapita_goro",0.92,-0.083381608939051
"323","7","7.31","open","open","0","wt_percapita_tror",NA,NA
"324","7","7.31","open","open","0","wt_percapita_trcy",0.06,-2.81341071676004
"325","7","7.6","log","gap","0","wt_percapita_goro",0.27,-1.30933331998376
"326","7","7.6","log","gap","0","wt_percapita_tror",NA,NA
"327","7","7.6","log","gap","0","wt_percapita_trcy",NA,NA
"328","7","7.8","log","gap","0","wt_percapita_goro",NA,NA
"329","7","7.8","log","gap","0","wt_percapita_tror",NA,NA
"330","7","7.8","log","gap","0","wt_percapita_trcy",0.08,-2.52572864430826
"331","7","7.ten","log","insitu_pvc","1","wt_percapita_goro",0.04,-3.2188758248682
"332","7","7.ten","log","insitu_pvc","1","wt_percapita_tror",0.065,-2.7333680090865
"333","7","7.ten","log","insitu_pvc","1","wt_percapita_trcy",0.055,-2.90042209374967
"334","7","7.twenty","open","open_with_pvc","1","wt_percapita_goro",0.035,-3.35240721749272
"335","7","7.twenty","open","open_with_pvc","1","wt_percapita_tror",NA,NA
"336","7","7.twenty","open","open_with_pvc","1","wt_percapita_trcy",0.195,-1.63475572041839
