block,transect,initial,current_plot_type,dispersal_treatment,seeding_trt,ntrcy_germ,ngoro_germ,ntror_germ,ntrcy_plants,ngoro_plants,ntror_plants,ntrcy_biomass,ngoro_biomass,ntror_biomass,ntrcy_seeds,ngoro_seeds,ntror_seeds,physical_barrier,wt_percapita_trcy,wt_max15_trcy,wt_percapita_goro,wt_max15_goro,wt_percapita_tror,wt_max15_tror,ntrcy_tot,ngoro_tot,ntror_tot,notes,to-do,tree fallen,tree cleared
2,2.4,log,gap,after,1,4,0,0,4,0,0,0.046,NA,NA,11,NA,NA,0,0.0115,0.046,NA,NA,NA,NA,7,0,0,,,,
2,2.ten,log,gap,before,1,0,0,4,7,0,0,0.0264,NA,NA,5,NA,NA,0,0.003771429,0.0264,NA,NA,NA,NA,7,0,4,,,yes,no
2,2.15,log,insitu_log,after,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,0,,,,
2,2.7,log,insitu_log,before,1,4,0,6,1,0,1,0.0179,NA,0.0571,2,NA,17,1,0.0179,0.0179,NA,NA,0.0571,0.0571,4,0,6,,,,
2,2.02,log,insitu_pvc,before,1,NA,0,2,1,0,0,0.1247,NA,NA,27,NA,NA,1,0.1247,0.1247,NA,NA,NA,NA,1,0,2,,,,
2,2.6,log,insitu_pvc,after,1,0,1,3,0,1,2,NA,1.2896,0.0527,NA,143,18,1,NA,NA,1.2896,1.2896,0.02635,0.0527,0,1,4,,,,
2,2.25,open,open,NA,1,1,1,4,0,1,0,NA,0.7858,NA,NA,69,NA,0,NA,NA,0.7858,0.7858,NA,NA,1,1,4,,,,
2,2.27,open,open,NA,1,0,2,0,1,4,1,0.0122,0.6471,0.0249,2,81,10,0,0.0122,0.0122,0.161775,0.6471,0.0249,0.0249,1,5,1,pins missing so just did 20cm in the middle of 2 pintags in 2021 ,,,
2,2.31,open,open,NA,1,1,0,8,0,1,2,NA,0.1385,0.0442,NA,14,8,0,NA,NA,0.1385,0.1385,0.0221,0.0442,1,1,9,,,yes,yes
2,2.twenty,open,open,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,,,,
2,2.17,open,open_with_log,after,1,0,0,5,4,0,0,0.1021,NA,NA,29,NA,NA,1,0.025525,0.1021,NA,NA,NA,NA,4,0,5,,,,
2,2.26,open,open_with_log,before,1,0,0,1,2,0,0,0.0373,NA,NA,12,NA,NA,1,0.01865,0.0373,NA,NA,NA,NA,2,0,1,,,yes,yes
2,2.19,open,open_with_pvc,before,1,3,1,6,0,1,1,NA,0.0753,0.0073,NA,13,2,1,NA,NA,0.0753,0.0753,0.0073,0.0073,3,1,6,,,,
2,2.21,open,open_with_pvc,after,1,1,1,2,2,2,9,0.0473,0.2683,0.0566,16,30,8,1,0.02365,0.0473,0.13415,0.2683,0.006288889,0.0566,2,2,10,total biomass missing so I averaged all trcy biomass per plant plant values from plants with 10 to 14 seeds (there were no 12-seeded trcy) ,,,
3,3.01,log,gap,before,1,0,2,3,1,1,0,0.0129,0.0752,NA,3,10,NA,0,0.0129,0.0129,0.0752,0.0752,NA,NA,1,2,3,,,,
3,3.02,log,gap,after,1,0,1,2,0,1,0,NA,0.3191,NA,NA,39,NA,0,NA,NA,0.3191,0.3191,NA,NA,0,1,2,approximately 2 meters west of 3.32,,,
3,3.5,log,gap,before,1,1,5,0,0,1,0,NA,0.0381,NA,NA,3,NA,0,NA,NA,0.0381,0.0381,NA,NA,1,5,0,,,,
3,3.6,log,gap,after,1,1,2,1,2,0,3,0.0681,NA,0.1531,18,NA,21,0,0.03405,0.0681,NA,NA,0.051033333,0.1531,2,2,3,,,,
3,3.4,log,insitu_log,before,1,0,1,0,0,2,2,NA,0.3513,0.0547,NA,37,13,1,NA,NA,0.17565,0.3513,0.02735,0.0547,0,2,2,,,,
3,3.9,log,insitu_log,after,1,2,0,2,0,0,4,NA,NA,0.0724,NA,NA,19,1,NA,NA,NA,NA,0.0181,0.0724,2,0,5,,,yes,yes
3,3.12,log,insitu_pvc,after,1,0,0,0,1,0,0,0.0665,NA,NA,13,NA,NA,1,0.0665,0.0665,NA,NA,NA,NA,1,0,0,,,,
3,3.8,log,insitu_pvc,before,1,0,1,4,1,9,1,0.0098,2.0191,0.0068,2,199,2,1,0.0098,0.0098,0.224344444,2.0191,0.0068,0.0068,1,9,4,,,,
3,3.18,open,open,NA,1,0,4,0,0,3,0,NA,0.8875,NA,NA,271,NA,0,NA,NA,0.295833333,0.8875,NA,NA,0,6,0,,what does NA for germination mean?,,
3,3.22,open,open,NA,1,0,NA,0,0,2,0,NA,0.1545,NA,NA,26,NA,0,NA,NA,0.07725,0.1545,NA,NA,0,2,0,,,,
3,3.thirty,open,open,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,,,,
3,3.twenty,open,open,NA,1,1,1,0,0,1,0,NA,0.2869,NA,NA,36,NA,0,NA,NA,0.2869,0.2869,NA,NA,1,1,0,,,,
3,3.23,open,open_with_log,after,1,2,0,0,4,1,0,0.0806,0.0775,NA,22,11,NA,1,0.02015,0.0806,0.0775,0.0775,NA,NA,5,1,0,,,,
3,3.32,open,open_with_log,before,1,1,4,0,0,3,0,NA,0.7264,NA,NA,90,NA,1,NA,NA,0.242133333,0.7264,NA,NA,1,6,0,,,,
3,3.17,open,open_with_pvc,before,1,0,1,0,0,1,1,NA,0.2235,0.0102,NA,7,4,1,NA,NA,0.2235,0.2235,0.0102,0.0102,0,1,1,,,yes,yes
3,3.27,open,open_with_pvc,after,1,0,0,0,1,4,0,0.012,0.5733,NA,4,76,NA,1,0.012,0.012,0.143325,0.5733,NA,NA,1,4,0,,,,
4,4.4,log,gap,before,1,3,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,0,1,,,,
4,4.5,log,gap,before,1,1,0,1,1,0,0,0.0049,NA,NA,1,NA,NA,0,0.0049,0.0049,NA,NA,NA,NA,1,0,1,,,,
4,4.6,log,gap,after,1,0,1,0,1,4,0,0.0756,1.3685,NA,22,154,NA,0,0.0756,0.0756,0.342125,1.3685,NA,NA,1,4,0,nail miassing; assumed 20cm sample area,,yes,yes
4,4.7,log,gap,after,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,,,,
4,4.01,log,insitu_log,before,1,1,3,3,1,1,4,0.0129,0.1734,0.0434,2,28,4,1,0.0129,0.0129,0.1734,0.1734,0.01085,0.0434,1,3,6,,,,
4,4.14,log,insitu_log,after,1,2,0,8,4,0,0,0.0275,NA,NA,5,NA,NA,1,0.006875,0.0275,NA,NA,NA,NA,5,0,8,,,,
4,4.02,log,insitu_pvc,before,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,0,0,,,,
4,4.12,log,insitu_pvc,after,1,0,2,8,1,1,0,0.0274,0.3603,NA,4,7,NA,1,0.0274,0.0274,0.3603,0.3603,NA,NA,1,2,8,tree fallen right next to but not over transect/plot,,,
4,4.19,open,open,NA,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,,,,
4,4.27,open,open,NA,1,0,0,0,1,0,0,0.028,NA,NA,8,NA,NA,0,0.028,0.028,NA,NA,NA,NA,1,0,0,tree fallen right next to but not over transect/plot,,,
4,4.29,open,open,NA,1,0,1,0,0,1,0,0,1.0366,NA,NA,123,NA,0,NA,0,1.0366,1.0366,NA,NA,0,1,0,,,,
4,4.17,open,open_with_log,before,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,,,,
4,4.24,open,open_with_log,after,1,0,1,0,0,2,0,NA,1.4008,NA,NA,92,NA,1,NA,NA,0.7004,1.4008,NA,NA,0,2,0,,,yes,yes
4,4.21,open,open_with_pvc,NA,1,2,1,4,2,0,3,0.3002,NA,0.1767,83,NA,47,1,0.1501,0.3002,NA,NA,0.0589,0.1767,3,1,6,,,,
4,4.22,open,open_with_pvc,before,1,1,0,0,0,2,0,NA,0.2558,NA,NA,39,NA,1,NA,NA,0.1279,0.2558,NA,NA,1,2,0,,,yes,yes
4,4.25,open,open_with_pvc,after,1,2,0,1,1,1,0,0.0262,0.1192,NA,8,14,NA,1,0.0262,0.0262,0.1192,0.1192,NA,NA,2,1,1,,,,
5,5.02,log,gap,before,1,3,1,0,2,1,0,0.2167,0.3446,NA,3,46,NA,0,0.10835,0.2167,0.3446,0.3446,NA,NA,4,1,0,"est seed per plant was missing, so I took the seed biomass value and found the closest seed biomass values in trcy (0.004g-0.005g), then averaged the seed number values of those for seed number estimate.",,,
5,5.13,log,gap,after,1,2,0,0,1,0,0,0.0049,NA,NA,14,NA,NA,0,0.0049,0.0049,NA,NA,NA,NA,2,0,0,,,,
5,5.4,log,gap,before,1,1,1,NA,1,4,0,0.0086,0.4038,NA,2,46,NA,0,0.0086,0.0086,0.10095,0.4038,NA,NA,1,4,0,tree fallen over plot but not touching ground (~50cm above). Left as is. ,what does NA for germination mean?,,
5,5.7,log,gap,after,1,0,1,0,0,1,0,NA,0.0297,NA,NA,4,NA,0,NA,NA,0.0297,0.0297,NA,NA,0,1,0,,,,
5,5.01,log,insitu_log,before,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,,,,
5,5.14,log,insitu_log,after,1,0,0,0,1,2,0,0.0143,0.4257,NA,4,46,NA,1,0.0143,0.0143,0.21285,0.4257,NA,NA,1,2,0,,,,
5,5.9,log,insitu_pvc,before,1,1,0,0,1,0,0,0.009,NA,NA,1,NA,NA,1,0.009,0.009,NA,NA,NA,NA,1,0,0,,,yes,yes
5,5.ten,log,insitu_pvc,after,1,0,0,0,0,1,0,NA,0.5617,NA,NA,49,NA,1,NA,NA,0.5617,0.5617,NA,NA,0,1,0,,,,
5,5.19,open,open,NA,1,0,0,0,0,0,1,NA,NA,0.0527,NA,NA,17,0,NA,NA,NA,NA,0.0527,0.0527,0,0,1,,,,
5,5.21,open,open,NA,1,0,0,0,0,1,0,NA,1.7446,NA,NA,170,NA,0,NA,NA,1.7446,1.7446,NA,NA,0,1,0,,,,
5,5.23,open,open,NA,1,0,2,0,0,4,0,NA,0.1174,NA,NA,14,NA,0,NA,NA,0.02935,0.1174,NA,NA,0,5,0,,,,
5,5.31,open,open,NA,1,0,0,0,0,0,25,NA,NA,0.118,NA,NA,42,0,NA,NA,NA,NA,0.00472,0.0708,0,0,25,There are too many plants in this sample - 25! - and I don't think it's possible to tell what happened here. Is it a mistype?,"As before, I decided to take cases where count>15 and do the following: take the per capita biomass, then multiply by 15. ",,
5,5.17,open,open_with_log,before,1,1,0,0,2,0,0,0.1872,NA,NA,46,NA,NA,1,0.0936,0.1872,NA,NA,NA,NA,2,0,0,,,,
5,5.27,open,open_with_log,after,1,0,2,0,0,1,0,NA,0.0381,NA,NA,7,NA,1,NA,NA,0.0381,0.0381,NA,NA,0,2,0,,,,
5,5.24,open,open_with_pvc,before,1,0,0,0,0,0,1,NA,NA,0.0084,NA,NA,4,1,NA,NA,NA,NA,0.0084,0.0084,0,0,1,,,,
5,5.28,open,open_with_pvc,after,1,0,0,1,4,0,0,0.3061,NA,NA,70,NA,NA,1,0.076525,0.3061,NA,NA,NA,NA,4,0,1,,,,
6,6.01,log,gap,before,1,0,2,2,0,3,0,NA,0.7835,NA,NA,95,NA,0,NA,NA,0.261166667,0.7835,NA,NA,0,4,2,,,,
6,6.4,log,gap,after,1,0,2,3,2,2,0,0.0447,0.6787,NA,8,55,NA,0,0.02235,0.0447,0.33935,0.6787,NA,NA,2,3,3,tree fallen over plot but not touching ground (~50cm above). Left as is. ,,,
6,6.5,log,gap,before,1,1,3,1,0,1,1,NA,0.5861,0.1544,NA,21,46,0,NA,NA,0.5861,0.5861,0.1544,0.1544,1,3,1,,,yes,yes
6,6.7,log,gap,after,1,0,1,5,0,3,0,NA,0.4275,NA,NA,39,NA,0,NA,NA,0.1425,0.4275,NA,NA,0,3,5,,,,
6,6.15,log,insitu_log,after,1,8,1,4,1,4,1,0.023,0.0335,0.0359,7,4,11,1,0.023,0.023,0.008375,0.0335,0.0359,0.0359,8,4,4,,,,
6,6.9,log,insitu_log,before,1,3,0,2,0,0,1,NA,NA,0.0215,NA,NA,5,1,NA,NA,NA,NA,0.0215,0.0215,3,0,2,branch over plot removed,,yes,yes
6,6.02,log,insitu_pvc,before,1,2,0,4,1,2,4,0.0163,0.0294,0.0598,5,4,18,1,0.0163,0.0163,0.0147,0.0294,0.01495,0.0598,2,2,7,,,,
6,6.11,log,insitu_pvc,after,1,3,3,0,3,0,1,0.08,NA,0.0136,20,NA,2,1,0.026666667,0.08,NA,NA,0.0136,0.0136,5,3,1,,,,
6,6.17,open,open,NA,1,4,0,5,2,1,0,0.1069,0.5785,NA,17,28,NA,0,0.05345,0.1069,0.5785,0.5785,NA,NA,5,1,5,,,,
6,6.21,open,open,NA,1,0,1,1,0,1,0,NA,0.2817,NA,NA,42,NA,0,NA,NA,0.2817,0.2817,NA,NA,0,1,1,,,,
6,6.26,open,open,NA,1,NA,0,0,0,4,0,NA,0.8562,NA,NA,101,NA,0,NA,NA,0.21405,0.8562,NA,NA,0,4,0,,,,
6,6.31,open,open,NA,1,0,NA,1,0,4,0,NA,0.2113,NA,NA,35,NA,0,NA,NA,0.052825,0.2113,NA,NA,0,4,1,,what does NA for germination mean?,,
6,6.18,open,open_with_log,before,1,2,2,4,0,0,4,NA,NA,0.0597,NA,NA,14,1,NA,NA,NA,NA,0.014925,0.0597,2,2,7,,,,
6,6.28,open,open_with_log,after,1,4,0,1,1,1,0,0.01443,0.1117,NA,8,16,NA,1,0.01443,0.01443,0.1117,0.1117,NA,NA,4,1,1,,,,
6,6.23,open,open_with_pvc,before,1,0,2,11,0,0,3,NA,NA,0.0343,NA,NA,39,1,NA,NA,NA,NA,0.011433333,0.0343,0,2,13,seed and plant biomass missing so to get total biomass I will take average total biomass from plants from 12-15 seeds ,,,
6,6.24,open,open_with_pvc,after,1,0,0,0,0,0,6,NA,NA,0.0073,NA,NA,16,1,NA,NA,NA,NA,0.001216667,0.0073,0,0,6,biomass missing so to get total biomass I took average biomass of 4 seeded tror ,,,
7,7.02,log,gap,after,1,0,2,0,0,1,0,NA,0.206,NA,NA,19,NA,0,NA,NA,0.206,0.206,NA,NA,0,2,0,branches fallen near but not touching the plot,,,
7,7.16,log,gap,before,1,4,0,8,2,0,1,0.2956,NA,0.0963,65,NA,18,0,0.1478,0.2956,NA,NA,0.0963,0.0963,5,0,8,,,yes,yes
7,7.6,log,gap,after,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,,,,
7,7.8,log,gap,before,1,NA,3,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,3,0,toothpicks were missing. Branch over plot removed,what does NA for germination mean?,yes,yes
7,7.01,log,insitu_log,before,1,0,0,8,1,1,1,0.0165,1.003,0.0119,4,103,4,1,0.0165,0.0165,1.003,1.003,0.0119,0.0119,1,1,8,,,yes,yes
7,7.11,log,insitu_pvc,after,1,3,4,1,4,4,1,0.0059,0.9528,0.0436,12,102,9,1,0.001475,0.0059,0.2382,0.9528,0.0436,0.0436,6,7,1,est biomass missing so I took total biomass average for all trcy samples with between 0 and 1 fruit per plant average and then multiplied by two,,,
7,7.13,log,insitu_pvc,after,1,NA,0,5,1,0,0,0.0252,NA,NA,9,NA,NA,1,0.0252,0.0252,NA,NA,NA,NA,1,0,5,,what does NA for germination mean?,,
7,7.ten,log,insitu_pvc,before,1,0,1,3,1,0,1,0.0223,NA,0.0172,6,NA,2,1,0.0223,0.0223,NA,NA,0.0172,0.0172,1,1,3,,,,
7,7.22,open,open,NA,1,0,1,0,0,2,0,NA,0.3794,NA,NA,35,NA,0,NA,NA,0.1897,0.3794,NA,NA,0,2,0,big tree over plot; branches removed. One nail moved/came out. Assumed 20cm,,yes,yes
7,7.26,open,open,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,,,,
7,7.29,open,open,NA,1,2,0,5,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,5,,,,
7,7.31,open,open,NA,1,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,0,,,,
7,7.17,open,open_with_log,after,1,0,0,0,1,0,0,0.0835,NA,NA,29,NA,NA,1,0.0835,0.0835,NA,NA,NA,NA,1,0,0,approximately 1m north of 7.06,,,
7,7.18,open,open_with_log,before,1,0,0,0,0,0,1,NA,NA,0.0062,NA,NA,2,1,NA,NA,NA,NA,0.0062,0.0062,0,0,1,,,,
7,7.24,open,open_with_pvc,before,1,3,0,1,2,1,1,0.0263,0.0555,0.0357,7,6,15,1,0.01315,0.0263,0.0555,0.0555,0.0357,0.0357,4,1,1,,,,
7,7.twenty,open,open_with_pvc,after,1,3,0,1,0,4,0,NA,0.7415,NA,NA,62,NA,1,NA,NA,0.185375,0.7415,NA,NA,3,4,1,,,,
1,1.11,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.5,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
1,1.7,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.9,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.13,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.16,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.12,log,insitu_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.15,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.25,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,no
1,1.32,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.thirty,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.twenty,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
1,1.18,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.27,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.26,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
1,1.29,open,open_with_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.03,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,no
2,2.11,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.13,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.5,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.16,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,
2,2.8,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.14,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.9,log,insitu_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.18,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.22,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.28,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.32,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.24,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
2,2.29,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.23,open,open_with_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
2,2.thirty,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.03,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.13,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.14,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.7,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
3,3.11,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.15,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.16,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.ten,log,insitu_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.19,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.21,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.26,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.31,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,one nail missing so assumed 20cm based on remaining nail,,,
3,3.24,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.28,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.25,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
3,3.29,open,open_with_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.03,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.15,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.8,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.9,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.16,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,"not a tree, just lots of branches fallen and removed",,yes,yes
4,4.ten,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.11,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branch over plot; PVC not secure and covered transect,,,
4,4.13,log,insitu_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.23,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,"not a tree, just lots of branches fallen and removed",,yes,yes
4,4.26,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
4,4.28,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.thirty,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.twenty,open,open,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,4.18,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
4,4.31,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
