"","block","transect","initial","current_plot_type","physical_barrier","name","value","presence","posicounts"
"59","2","2.15","log","insitu_log","1","ngoro",0,0,NA
"60","2","2.15","log","insitu_log","1","ntrcy",2,1,2
"61","2","2.17","open","open_with_log","1","ntror",4,1,4
"62","2","2.17","open","open_with_log","1","ngoro",2,1,2
"63","2","2.17","open","open_with_log","1","ntrcy",0,0,NA
"64","2","2.19","open","open_with_pvc","1","ntror",2,1,2
"65","2","2.19","open","open_with_pvc","1","ngoro",3,1,3
"66","2","2.19","open","open_with_pvc","1","ntrcy",3,1,3
"67","2","2.21","open","open_with_pvc","1","ntror",1,1,1
"68","2","2.21","open","open_with_pvc","1","ngoro",3,1,3
"69","2","2.21","open","open_with_pvc","1","ntrcy",1,1,1
"70","2","2.25","open","open","0","ntror",2,1,2
"71","2","2.25","open","open","0","ngoro",1,1,1
"72","2","2.25","open","open","0","ntrcy",5,1,5
"73","2","2.26","open","open_with_log","1","ntror",1,1,1
"74","2","2.26","open","open_with_log","1","ngoro",0,0,NA
"75","2","2.26","open","open_with_log","1","ntrcy",0,0,NA
"76","2","2.27","open","open","0","ntror",0,0,NA
"77","2","2.27","open","open","0","ngoro",0,0,NA
"78","2","2.27","open","open","0","ntrcy",0,0,NA
"79","2","2.31","open","open","0","ntror",0,0,NA
"80","2","2.31","open","open","0","ngoro",0,0,NA
"81","2","2.31","open","open","0","ntrcy",5,1,5
"82","2","2.4","log","gap","0","ntror",8,1,8
"83","2","2.4","log","gap","0","ngoro",1,1,1
"84","2","2.4","log","gap","0","ntrcy",0,0,NA
"85","2","2.6","log","insitu_pvc","1","ntror",5,1,5
"86","2","2.6","log","insitu_pvc","1","ngoro",0,0,NA
"87","2","2.6","log","insitu_pvc","1","ntrcy",6,1,6
"88","2","2.7","log","insitu_log","1","ntror",2,1,2
"89","2","2.7","log","insitu_log","1","ngoro",1,1,1
"90","2","2.7","log","insitu_log","1","ntrcy",15,1,15
"91","2","2.ten","log","gap","0","ntror",1,1,1
"92","2","2.ten","log","gap","0","ngoro",0,0,NA
"93","2","2.ten","log","gap","0","ntrcy",0,0,NA
"94","2","2.twenty","open","open","0","ntror",0,0,NA
"95","2","2.twenty","open","open","0","ngoro",0,0,NA
"96","2","2.twenty","open","open","0","ntrcy",5,1,5
"97","3","3.01","log","gap","0","ntror",1,1,1
"98","3","3.01","log","gap","0","ngoro",4,1,4
"99","3","3.01","log","gap","0","ntrcy",2,1,2
"100","3","3.02","log","gap","0","ntror",0,0,NA
"101","3","3.02","log","gap","0","ngoro",2,1,2
"102","3","3.02","log","gap","0","ntrcy",0,0,NA
"103","3","3.12","log","insitu_pvc","1","ntror",2,1,2
"104","3","3.12","log","insitu_pvc","1","ngoro",3,1,3
"105","3","3.12","log","insitu_pvc","1","ntrcy",1,1,1
"106","3","3.17","open","open_with_pvc","1","ntror",0,0,NA
"107","3","3.17","open","open_with_pvc","1","ngoro",0,0,NA
"108","3","3.17","open","open_with_pvc","1","ntrcy",1,1,1
"109","3","3.18","open","open","0","ntror",1,1,1
"110","3","3.18","open","open","0","ngoro",3,1,3
"111","3","3.18","open","open","0","ntrcy",1,1,1
"112","3","3.22","open","open","0","ntror",0,0,NA
"113","3","3.22","open","open","0","ngoro",1,1,1
"114","3","3.22","open","open","0","ntrcy",1,1,1
"115","3","3.23","open","open_with_log","1","ntror",0,0,NA
"116","3","3.23","open","open_with_log","1","ngoro",2,1,2
"117","3","3.23","open","open_with_log","1","ntrcy",11,1,11
"118","3","3.27","open","open_with_pvc","1","ntror",1,1,1
"119","3","3.27","open","open_with_pvc","1","ngoro",1,1,1
"120","3","3.27","open","open_with_pvc","1","ntrcy",2,1,2
"121","3","3.32","open","open_with_log","1","ntror",0,0,NA
"122","3","3.32","open","open_with_log","1","ngoro",2,1,2
"123","3","3.32","open","open_with_log","1","ntrcy",1,1,1
"124","3","3.4","log","insitu_log","1","ntror",4,1,4
"125","3","3.4","log","insitu_log","1","ngoro",1,1,1
"126","3","3.4","log","insitu_log","1","ntrcy",2,1,2
"127","3","3.5","log","gap","0","ntror",4,1,4
"128","3","3.5","log","gap","0","ngoro",0,0,NA
"129","3","3.5","log","gap","0","ntrcy",3,1,3
"130","3","3.6","log","gap","0","ntror",0,0,NA
"131","3","3.6","log","gap","0","ngoro",3,1,3
"132","3","3.6","log","gap","0","ntrcy",3,1,3
"133","3","3.8","log","insitu_pvc","1","ntror",5,1,5
"134","3","3.8","log","insitu_pvc","1","ngoro",4,1,4
"135","3","3.8","log","insitu_pvc","1","ntrcy",9,1,9
"136","3","3.9","log","insitu_log","1","ntror",0,0,NA
"137","3","3.9","log","insitu_log","1","ngoro",0,0,NA
"138","3","3.9","log","insitu_log","1","ntrcy",0,0,NA
"139","3","3.thirty","open","open","0","ntror",6,1,6
"140","3","3.thirty","open","open","0","ngoro",4,1,4
"141","3","3.thirty","open","open","0","ntrcy",0,0,NA
"142","3","3.twenty","open","open","0","ntror",0,0,NA
"143","3","3.twenty","open","open","0","ngoro",1,1,1
"144","3","3.twenty","open","open","0","ntrcy",0,0,NA
"145","4","4.01","log","insitu_log","1","ntror",1,1,1
"146","4","4.01","log","insitu_log","1","ngoro",0,0,NA
"147","4","4.01","log","insitu_log","1","ntrcy",5,1,5
"148","4","4.02","log","insitu_pvc","1","ntror",1,1,1
"149","4","4.02","log","insitu_pvc","1","ngoro",2,1,2
"150","4","4.02","log","insitu_pvc","1","ntrcy",1,1,1
"151","4","4.12","log","insitu_pvc","1","ntror",1,1,1
"152","4","4.12","log","insitu_pvc","1","ngoro",0,0,NA
"153","4","4.12","log","insitu_pvc","1","ntrcy",0,0,NA
"154","4","4.14","log","insitu_log","1","ntror",1,1,1
"155","4","4.14","log","insitu_log","1","ngoro",1,1,1
"156","4","4.14","log","insitu_log","1","ntrcy",3,1,3
"157","4","4.17","open","open_with_log","1","ntror",0,0,NA
"158","4","4.17","open","open_with_log","1","ngoro",0,0,NA
"159","4","4.17","open","open_with_log","1","ntrcy",0,0,NA
"160","4","4.19","open","open","0","ntror",0,0,NA
"161","4","4.19","open","open","0","ngoro",0,0,NA
"162","4","4.19","open","open","0","ntrcy",1,1,1
"163","4","4.21","open","open_with_pvc","1","ntror",0,0,NA
"164","4","4.21","open","open_with_pvc","1","ngoro",1,1,1
"165","4","4.21","open","open_with_pvc","1","ntrcy",1,1,1
"166","4","4.22","open","open_with_pvc","1","ntror",0,0,NA
"167","4","4.22","open","open_with_pvc","1","ngoro",3,1,3
"168","4","4.22","open","open_with_pvc","1","ntrcy",2,1,2
"169","4","4.24","open","open_with_log","1","ntror",1,1,1
"170","4","4.24","open","open_with_log","1","ngoro",2,1,2
"171","4","4.24","open","open_with_log","1","ntrcy",3,1,3
"172","4","4.25","open","open_with_pvc","1","ntror",0,0,NA
"173","4","4.25","open","open_with_pvc","1","ngoro",3,1,3
"174","4","4.25","open","open_with_pvc","1","ntrcy",0,0,NA
"175","4","4.27","open","open","0","ntror",0,0,NA
"176","4","4.27","open","open","0","ngoro",0,0,NA
"177","4","4.27","open","open","0","ntrcy",0,0,NA
"178","4","4.29","open","open","0","ntror",0,0,NA
"179","4","4.29","open","open","0","ngoro",3,1,3
"180","4","4.29","open","open","0","ntrcy",0,0,NA
"181","4","4.4","log","gap","0","ntror",1,1,1
"182","4","4.4","log","gap","0","ngoro",0,0,NA
"183","4","4.4","log","gap","0","ntrcy",14,1,14
"184","4","4.5","log","gap","0","ntror",3,1,3
"185","4","4.5","log","gap","0","ngoro",0,0,NA
"186","4","4.5","log","gap","0","ntrcy",1,1,1
"187","4","4.6","log","gap","0","ntror",0,0,NA
"188","4","4.6","log","gap","0","ngoro",1,1,1
"189","4","4.6","log","gap","0","ntrcy",1,1,1
"190","4","4.7","log","gap","0","ntror",0,0,NA
"191","4","4.7","log","gap","0","ngoro",3,1,3
"192","4","4.7","log","gap","0","ntrcy",0,0,NA
"193","5","5.01","log","insitu_log","1","ntror",0,0,NA
"194","5","5.01","log","insitu_log","1","ngoro",0,0,NA
"195","5","5.01","log","insitu_log","1","ntrcy",1,1,1
"196","5","5.02","log","gap","0","ntror",0,0,NA
"197","5","5.02","log","gap","0","ngoro",0,0,NA
"198","5","5.02","log","gap","0","ntrcy",1,1,1
"199","5","5.13","log","gap","0","ntror",1,1,1
"200","5","5.13","log","gap","0","ngoro",0,0,NA
"201","5","5.13","log","gap","0","ntrcy",0,0,NA
"202","5","5.14","log","insitu_log","1","ntror",0,0,NA
"203","5","5.14","log","insitu_log","1","ngoro",2,1,2
"204","5","5.14","log","insitu_log","1","ntrcy",0,0,NA
"205","5","5.17","open","open_with_log","1","ntror",0,0,NA
"206","5","5.17","open","open_with_log","1","ngoro",2,1,2
"207","5","5.17","open","open_with_log","1","ntrcy",1,1,1
"208","5","5.19","open","open","0","ntror",0,0,NA
"209","5","5.19","open","open","0","ngoro",1,1,1
"210","5","5.19","open","open","0","ntrcy",0,0,NA
"211","5","5.21","open","open","0","ntror",0,0,NA
"212","5","5.21","open","open","0","ngoro",0,0,NA
"213","5","5.21","open","open","0","ntrcy",0,0,NA
"214","5","5.23","open","open","0","ntror",0,0,NA
"215","5","5.23","open","open","0","ngoro",3,1,3
"216","5","5.23","open","open","0","ntrcy",0,0,NA
"217","5","5.24","open","open_with_pvc","1","ntror",4,1,4
"218","5","5.24","open","open_with_pvc","1","ngoro",6,1,6
"219","5","5.24","open","open_with_pvc","1","ntrcy",0,0,NA
"220","5","5.27","open","open_with_log","1","ntror",0,0,NA
"221","5","5.27","open","open_with_log","1","ngoro",0,0,NA
"222","5","5.27","open","open_with_log","1","ntrcy",0,0,NA
"223","5","5.28","open","open_with_pvc","1","ntror",2,1,2
"224","5","5.28","open","open_with_pvc","1","ngoro",3,1,3
"225","5","5.28","open","open_with_pvc","1","ntrcy",4,1,4
"226","5","5.31","open","open","0","ntror",0,0,NA
"227","5","5.31","open","open","0","ngoro",0,0,NA
"228","5","5.31","open","open","0","ntrcy",0,0,NA
"229","5","5.4","log","gap","0","ntror",0,0,NA
"230","5","5.4","log","gap","0","ngoro",0,0,NA
"231","5","5.4","log","gap","0","ntrcy",0,0,NA
"232","5","5.7","log","gap","0","ntror",0,0,NA
"233","5","5.7","log","gap","0","ngoro",2,1,2
"234","5","5.7","log","gap","0","ntrcy",0,0,NA
"235","5","5.9","log","insitu_pvc","1","ntror",0,0,NA
"236","5","5.9","log","insitu_pvc","1","ngoro",0,0,NA
"237","5","5.9","log","insitu_pvc","1","ntrcy",1,1,1
"238","5","5.ten","log","insitu_pvc","1","ntror",0,0,NA
"239","5","5.ten","log","insitu_pvc","1","ngoro",2,1,2
"240","5","5.ten","log","insitu_pvc","1","ntrcy",0,0,NA
"241","6","6.01","log","gap","0","ntror",3,1,3
"242","6","6.01","log","gap","0","ngoro",0,0,NA
"243","6","6.01","log","gap","0","ntrcy",1,1,1
"244","6","6.02","log","insitu_pvc","1","ntror",1,1,1
"245","6","6.02","log","insitu_pvc","1","ngoro",5,1,5
"246","6","6.02","log","insitu_pvc","1","ntrcy",2,1,2
"247","6","6.11","log","insitu_pvc","1","ntror",0,0,NA
"248","6","6.11","log","insitu_pvc","1","ngoro",1,1,1
"249","6","6.11","log","insitu_pvc","1","ntrcy",2,1,2
"250","6","6.15","log","insitu_log","1","ntror",1,1,1
"251","6","6.15","log","insitu_log","1","ngoro",1,1,1
"252","6","6.15","log","insitu_log","1","ntrcy",0,0,NA
"253","6","6.17","open","open","0","ntror",3,1,3
"254","6","6.17","open","open","0","ngoro",1,1,1
"255","6","6.17","open","open","0","ntrcy",0,0,NA
"256","6","6.18","open","open_with_log","1","ntror",5,1,5
"257","6","6.18","open","open_with_log","1","ngoro",3,1,3
"258","6","6.18","open","open_with_log","1","ntrcy",3,1,3
"259","6","6.21","open","open","0","ntror",0,0,NA
"260","6","6.21","open","open","0","ngoro",6,1,6
"261","6","6.21","open","open","0","ntrcy",0,0,NA
"262","6","6.23","open","open_with_pvc","1","ntror",1,1,1
"263","6","6.23","open","open_with_pvc","1","ngoro",1,1,1
"264","6","6.23","open","open_with_pvc","1","ntrcy",0,0,NA
"265","6","6.24","open","open_with_pvc","1","ntror",2,1,2
"266","6","6.24","open","open_with_pvc","1","ngoro",1,1,1
"267","6","6.24","open","open_with_pvc","1","ntrcy",1,1,1
"268","6","6.26","open","open","0","ntror",0,0,NA
"269","6","6.26","open","open","0","ngoro",1,1,1
"270","6","6.26","open","open","0","ntrcy",0,0,NA
"271","6","6.28","open","open_with_log","1","ntror",0,0,NA
"272","6","6.28","open","open_with_log","1","ngoro",1,1,1
"273","6","6.28","open","open_with_log","1","ntrcy",0,0,NA
"274","6","6.31","open","open","0","ntror",0,0,NA
"275","6","6.31","open","open","0","ngoro",3,1,3
"276","6","6.31","open","open","0","ntrcy",0,0,NA
"277","6","6.4","log","gap","0","ntror",1,1,1
"278","6","6.4","log","gap","0","ngoro",5,1,5
"279","6","6.4","log","gap","0","ntrcy",6,1,6
"280","6","6.5","log","gap","0","ntror",0,0,NA
"281","6","6.5","log","gap","0","ngoro",0,0,NA
"282","6","6.5","log","gap","0","ntrcy",0,0,NA
"283","6","6.7","log","gap","0","ntror",0,0,NA
"284","6","6.7","log","gap","0","ngoro",3,1,3
"285","6","6.7","log","gap","0","ntrcy",0,0,NA
"286","6","6.9","log","insitu_log","1","ntror",0,0,NA
"287","6","6.9","log","insitu_log","1","ngoro",1,1,1
"288","6","6.9","log","insitu_log","1","ntrcy",1,1,1
"289","7","7.01","log","insitu_log","1","ntror",0,0,NA
"290","7","7.01","log","insitu_log","1","ngoro",0,0,NA
"291","7","7.01","log","insitu_log","1","ntrcy",4,1,4
"292","7","7.02","log","gap","0","ntror",1,1,1
"293","7","7.02","log","gap","0","ngoro",0,0,NA
"294","7","7.02","log","gap","0","ntrcy",1,1,1
"295","7","7.11","log","insitu_pvc","1","ntror",3,1,3
"296","7","7.11","log","insitu_pvc","1","ngoro",0,0,NA
"297","7","7.11","log","insitu_pvc","1","ntrcy",0,0,NA
"298","7","7.13","log","insitu_pvc","1","ntror",0,0,NA
"299","7","7.13","log","insitu_pvc","1","ngoro",0,0,NA
"300","7","7.13","log","insitu_pvc","1","ntrcy",0,0,NA
"301","7","7.16","log","gap","0","ntror",2,1,2
"302","7","7.16","log","gap","0","ngoro",1,1,1
"303","7","7.16","log","gap","0","ntrcy",5,1,5
"304","7","7.17","open","open_with_log","1","ntror",0,0,NA
"305","7","7.17","open","open_with_log","1","ngoro",1,1,1
"306","7","7.17","open","open_with_log","1","ntrcy",0,0,NA
"307","7","7.18","open","open_with_log","1","ntror",1,1,1
"308","7","7.18","open","open_with_log","1","ngoro",0,0,NA
"309","7","7.18","open","open_with_log","1","ntrcy",1,1,1
"310","7","7.22","open","open","0","ntror",0,0,NA
"311","7","7.22","open","open","0","ngoro",0,0,NA
"312","7","7.22","open","open","0","ntrcy",1,1,1
"313","7","7.24","open","open_with_pvc","1","ntror",1,1,1
"314","7","7.24","open","open_with_pvc","1","ngoro",4,1,4
"315","7","7.24","open","open_with_pvc","1","ntrcy",0,0,NA
"316","7","7.26","open","open","0","ntror",0,0,NA
"317","7","7.26","open","open","0","ngoro",2,1,2
"318","7","7.26","open","open","0","ntrcy",5,1,5
"319","7","7.29","open","open","0","ntror",3,1,3
"320","7","7.29","open","open","0","ngoro",0,0,NA
"321","7","7.29","open","open","0","ntrcy",0,0,NA
"322","7","7.31","open","open","0","ntror",0,0,NA
"323","7","7.31","open","open","0","ngoro",2,1,2
"324","7","7.31","open","open","0","ntrcy",2,1,2
"325","7","7.6","log","gap","0","ntror",0,0,NA
"326","7","7.6","log","gap","0","ngoro",2,1,2
"327","7","7.6","log","gap","0","ntrcy",0,0,NA
"328","7","7.8","log","gap","0","ntror",0,0,NA
"329","7","7.8","log","gap","0","ngoro",0,0,NA
"330","7","7.8","log","gap","0","ntrcy",1,1,1
"331","7","7.ten","log","insitu_pvc","1","ntror",4,1,4
"332","7","7.ten","log","insitu_pvc","1","ngoro",1,1,1
"333","7","7.ten","log","insitu_pvc","1","ntrcy",4,1,4
"334","7","7.twenty","open","open_with_pvc","1","ntror",0,0,NA
"335","7","7.twenty","open","open_with_pvc","1","ngoro",2,1,2
"336","7","7.twenty","open","open_with_pvc","1","ntrcy",4,1,4
